centroid_y,centroid_x
11.84,550.189090909091
42.3995145631068,810.8271844660194
33.13365384615385,749.6394230769231
34.876106194690266,582.2300884955753
41.70987654320987,177.34567901234567
48.284974093264246,605.4507772020726
47.33678756476684,634.3678756476684
61.574616457461644,223.11854951185495
67.63636363636364,381.15415019762844
100.53867251782776,175.82775644541962
76.97282608695652,833.1059782608696
81.55492957746479,762.6478873239437
84.38283828382838,613.9207920792079
87.8407643312102,248.1624203821656
89.932384341637,151.95373665480426
94.03857566765579,727.8338278931751
149.20582414475544,363.9640938648572
105.1,795.6970588235295
129.9748743718593,458.5559616263134
115.09036144578313,399.1124497991968
128.67150395778364,703.4788918205804
129.85753424657534,847.1602739726028
127.27272727272727,948.1974025974026
129.8030303030303,986.14898989899
133.58005249343833,912.2440944881889
133.1432584269663,519.8539325842696
141.7271505376344,251.13575268817203
143.6625,210.171875
147.7863247863248,799.9487179487179
165.95501730103805,991.8365051903114
160.10921501706486,771.2320819112628
161.6969696969697,866.1631701631702
179.69594924353342,904.2996583699365
184.47107438016528,1382.4061393152301
264.07252096694623,610.3823795428383
184.88561816652648,315.605550883095
169.87692307692308,839.6984615384615
171.82089552238807,278.00597014925376
174.25732899022802,152.29967426710098
208.77415599534342,473.2142025611176
197.49510763209392,1272.3392041748207
229.43294295428788,1333.6267472610502
221.17507227754578,158.73433986508192
224.29787234042553,226.5258358662614
235.9764705882353,865.9882352941177
233.41148325358853,164.54306220095694
240.92351274787535,909.1133144475921
256.5596638655462,819.2848739495798
241.83157894736843,1375.5447368421053
279.2299768220448,991.8617048673706
250.31626506024097,1106.6024096385543
267.35081967213114,203.95737704918034
318.74631519274374,1209.373724489796
330.89089556995646,823.9840645915224
267.5206349206349,1079.415873015873
273.0791556728232,671.1767810026386
290.8895417156287,928.6486486486486
288.66623544631307,111.83699870633895
290.01190476190476,144.8452380952381
298.0738916256158,854.4507389162561
295.1468144044321,1049.0083102493074
306.59010600706716,882.0094228504122
301.7097701149425,1301.1867816091954
